0,{200451: 225}
1,{245027: 12}
2,{328978: 2100}
4,{6901: 225}
5,{119793: 50}
7,{21463: 75}
8,{6187: 25}
9,{7268: 150}
10,{5829: 100}
11,{1767: 25}
12,{6560: 10}
13,{6603: 150}
14,{6602: 20}
15,{31085: 150}
16,{8247: 53}
17,{13872: 225}
18,{40324: 352}
19,{10129: 200}
20,{38908: 25}
21,{102259: 25}
22,{94362: 2050}
23,{2273: 25}
24,{3455: 11}
25,{5572: 175}
26,{6680: 27}
27,{7812: 175}
28,{5132: 125}
29,{23026: 82}
30,{12150: 25}
31,{54406: 100}
32,{6921: 350}
34,{10120: 75}
35,{10106: 1099}
36,{5037: 13}
37,{17189: 2}
39,{4088: 20}
40,{43213: 100}
41,{39272: 400}
42,{19897: 66}
43,{18155: 25}
44,{51348: 73}
47,{895: 8}
48,{4085: 15}
49,{5865: 35}
50,{646: 14}
51,{7468: 50}
52,{41793: 342}
53,{53029: 2050}
54,{10871: 553}
55,{31494: 25}
56,{12292: 6}
57,{2048: 28}
58,{15183: 42}
59,{5159: 79}
60,{23377: 25}
61,{7897: 8}
62,{12891: 137}
63,{36256: 175}
64,{1332: 9}
65,{19416: 50}
66,{62028: 275}
67,{61498: 50}
68,{94776: 175}
69,{5605: 50}
70,{1153: 75}
71,{3834: 481}
72,{2764: 50}
73,{5800: 300}
74,{467: 25}
75,{8329: 120}
76,{5799: 25}
77,{6589: 208}
78,{3942: 109}
79,{7102: 125}
80,{8751: 6}
81,{9965: 224}
82,{82506: 150}
83,{21872: 150}
84,{6534: 100}
85,{6274: 627}
86,{11488: 225}
87,{4569: 86}
88,{24833: 225}
89,{35721: 473}
90,{5119: 25}
91,{3198: 233}
92,{4259: 125}
93,{9283: 100}
94,{11616: 118}
95,{14808: 50}
96,{13495: 250}
97,{82027: 150}
98,{25607: 950}
99,{20747: 65}
100,{25505: 300}
101,{8276: 777}
102,{1283: 50}
103,{2676: 205}
104,{13436: 225}
106,{8780: 125}
107,{14348: 533}
108,{4871: 23}
109,{6522: 94}
110,{3058: 87}
111,{105507: 1300}
112,{18020: 649}
113,{1896: 34}
114,{8605: 225}
115,{3587: 145}
116,{40049: 962}
119,{15352: 681}
120,{2754: 616}
121,{5047: 304}
122,{1066: 64}
123,{4299: 9}
124,{24633: 1165}
125,{26608: 584}
126,{2839: 27}
127,{8661: 270}
128,{425: 204}
129,{225: 66}
130,{11460: 1821}
131,{951: 697}
133,{15152: 250}
134,{16690: 25}
135,{18271: 725}
136,{9683: 148}
138,{40752: 957}
139,{46110: 150}
140,{5738: 236}
141,{22697: 761}
142,{4708: 362}
143,{30698: 550}
144,{15724: 4}
146,{570: 73}
147,{2265: 32}
148,{19771: 717}
150,{3659: 18}
151,{8203: 37}
152,{19313: 50}
153,{54526: 285}
154,{7442: 50}
156,{17729: 275}
157,{3928: 71}
158,{38605: 1425}
159,{9155: 50}
160,{578: 261}
161,{7826: 47}
162,{41658: 205}
